date,close,open,high,low,vol,pct_change,return,log_return,volatility_20d
2015-08-03,8543.05,8510.65,8563.95,8508.1,161.49,0.12,0.0011953802070818753,0.0011946663090252347,0.14337168173981257
2015-08-04,8516.9,8564.1,8565.15,8448.25,193.23,-0.31,-0.003060967687184224,-0.00306566203071199,0.14373646518465424
2015-08-05,8567.95,8547.45,8591.85,8545.85,136.95,0.6,0.00599396494029536,0.005976072594240236,0.12914286237145528
2015-08-06,8588.65,8585.8,8606.3,8551.5,139.12,0.24,0.0024159804854135825,0.0024130666967213904,0.12763172404005987
2015-08-07,8564.6,8580.8,8595.95,8552.7,148.07,-0.28,-0.0028002072502663067,-0.0028041351649522885,0.1282211162269448
2015-08-10,8525.6,8577.0,8621.55,8497.8,127.2,-0.46,-0.0045536277234196065,-0.004564027067979434,0.1233730209027344
2015-08-11,8462.35,8548.45,8556.25,8441.3,159.19,-0.74,-0.007418832692127286,-0.00744648910180363,0.12645155295537747
2015-08-12,8349.45,8445.7,8446.95,8337.95,195.9,-1.33,-0.01334144770660628,-0.013431244392924006,0.13117122324917313
2015-08-13,8355.85,8384.45,8429.5,8339.75,195.08,0.08,0.0007665175550484182,0.000766223930503318,0.1250099228040384
2015-08-14,8518.55,8402.35,8530.1,8381.2,160.68,1.95,0.019471388308789583,0.019284246203826075,0.14515593114052797
2015-08-17,8477.3,8530.5,8530.6,8428.05,180.08,-0.48,-0.004842373408620038,-0.004854135685655054,0.14596608998632785
2015-08-18,8466.55,8505.85,8525.75,8433.6,157.99,-0.13,-0.0012680924350914058,-0.0012688971446727342,0.14298983752206776
2015-08-19,8495.15,8468.05,8520.45,8425.95,134.51,0.34,0.003377999303139978,0.003372306679677083,0.13605245658887985
2015-08-20,8372.75,8471.05,8501.35,8359.75,189.84,-1.44,-0.014408221161486212,-0.01451302751352893,0.14387848221615462
2015-08-21,8299.95,8305.4,8322.2,8225.05,207.54,-0.87,-0.008694873249529667,-0.008732894212009904,0.14436921449954013
2015-08-24,7809.0,8055.95,8060.05,7769.4,322.1,-5.92,-0.05915095874071541,-0.060972576007483854,0.25043734777901105
2015-08-25,7880.7,7895.4,7925.4,7667.25,308.26,0.92,0.009181713407606651,0.00913981773118768,0.25438134782693905
2015-08-26,7791.85,7865.25,7930.05,7777.1,223.26,-1.13,-0.01127437917951446,-0.011338416770132156,0.254531086901712
2015-08-27,7948.95,7921.6,7963.6,7862.3,314.42,2.02,0.020162092442744584,0.01996152883021574,0.2662716893785071
2015-08-28,8001.95,8053.7,8091.8,7961.65,201.57,0.67,0.006667547286119513,0.006645417505821892,0.26208397461633126
2015-08-31,7971.3,8009.25,8043.6,7947.95,204.26,-0.38,-0.0038303163603871093,-0.0038376708080114967,0.2615700032736107
2015-09-01,7785.85,7907.95,7929.1,7746.5,190.58,-2.33,-0.023264712154855482,-0.02353960751499542,0.2710802220738333
2015-09-02,7717.0,7856.65,7862.55,7699.25,222.0,-0.88,-0.00884296512262639,-0.008882296179158256,0.26859304383151694
2015-09-03,7823.0,7774.45,7845.6,7754.05,160.61,1.37,0.013735907736166952,0.01364242522747763,0.2756950727988847
2015-09-04,7655.05,7803.4,7804.9,7626.85,199.57,-2.15,-0.021468746005368744,-0.02170255193598637,0.28208715412008945
2015-09-07,7558.8,7685.85,7705.05,7545.9,145.76,-1.26,-0.012573399259312446,-0.012653113333210548,0.28314733447546125
2015-09-08,7688.25,7587.7,7720.9,7539.5,177.52,1.71,0.0171257342435307,0.016980741915736938,0.294559201094305
2015-09-09,7818.6,7805.85,7846.05,7764.55,214.84,1.7,0.016954443468929936,0.016812321047294777,0.3022630119643573
2015-09-10,7788.1,7729.05,7819.85,7678.5,165.31,-0.39,-0.0039009541350113475,-0.003908582702182925,0.3018873529773526
2015-09-11,7789.3,7833.8,7864.85,7759.9,140.58,0.02,0.00015408122648663536,0.00015406935719366538,0.2901308658430938
2015-09-14,7872.25,7811.1,7879.95,7761.85,126.63,1.06,0.010649223935398577,0.010592920323966004,0.295003344053897
2015-09-15,7829.1,7867.35,7880.0,7799.75,140.72,-0.55,-0.005481279176855369,-0.00549635650817742,0.294922467669353
2015-09-16,7899.15,7886.85,7913.9,7853.3,144.33,0.89,0.008947388588726568,0.008907597879939009,0.29738046526434986
2015-09-18,7981.9,7967.45,8055.0,7955.85,249.31,1.05,0.010475810688491904,0.010421319612123373,0.29845478705448747
2015-09-21,7977.1,7911.5,7987.9,7908.35,125.63,-0.06,-0.0006013605783082854,-0.0006015414681044874,0.29755720833309485
2015-09-22,7812.0,8014.8,8021.6,7787.75,173.57,-2.07,-0.02069674443093361,-0.020913923877102725,0.21465648804804832
2015-09-23,7845.95,7737.35,7882.9,7723.25,151.2,0.43,0.004345878136200687,0.004336462078648718,0.2126170548693395
2015-09-24,7868.5,7838.4,7894.5,7804.1,208.77,0.29,0.0028740942779394985,0.0028699719657007167,0.20870925358296502
2015-09-28,7795.7,7892.8,7893.95,7787.95,140.48,-0.93,-0.009252081082798513,-0.009295147426338244,0.19807280187948492
2015-09-29,7843.3,7725.7,7926.55,7691.2,248.11,0.61,0.006105930192285447,0.00608736453593409,0.19779781868515892
2015-09-30,7948.9,7924.25,7957.7,7874.5,217.19,1.35,0.013463720627796993,0.01337389014469916,0.2038666061059483
2015-10-01,7950.9,7992.05,8008.25,7930.65,161.81,0.03,0.0002516071406106768,0.00025157549284249867,0.1841916872832373
2015-10-05,8119.3,8005.1,8128.9,8005.1,188.83,2.12,0.02117999220214073,0.02095881375508732,0.19309460110795887
2015-10-06,8152.9,8180.45,8180.95,8096.5,184.04,0.41,0.004138287783429506,0.004129748620775543,0.18874426511943576
2015-10-07,8177.4,8146.2,8188.9,8132.9,199.91,0.3,0.0030050656821498656,0.0030005594976027835,0.16654976412820852
2015-10-08,8129.35,8196.75,8196.75,8105.85,177.03,-0.59,-0.0058759507912049536,-0.0058932821154094855,0.15954278343649586
2015-10-09,8189.7,8186.35,8232.2,8139.65,205.86,0.74,0.007423717763412663,0.007396297593475994,0.15237849335765455
2015-10-12,8143.6,8231.5,8244.5,8128.2,205.26,-0.56,-0.0056290218200910624,-0.005644924469066859,0.1464256314625228
2015-10-13,8131.7,8121.95,8150.25,8088.6,150.43,-0.15,-0.0014612701999116018,-0.0014623388964399796,0.14536196255361672
2015-10-14,8107.9,8102.4,8139.3,8096.35,143.16,-0.29,-0.0029268172706814477,-0.00293110877602961,0.1463355153202222
2015-10-15,8179.5,8134.35,8190.55,8129.8,172.43,0.88,0.00883089332626219,0.008792129036173624,0.14506785717147397
2015-10-16,8238.15,8193.65,8246.4,8147.65,161.15,0.72,0.007170364936732065,0.007144780099017116,0.14343347480093202
2015-10-19,8275.05,8262.55,8283.05,8239.2,128.3,0.45,0.004479160976675445,0.004469159389838342,0.1416772440855081
2015-10-20,8261.65,8280.3,8294.05,8229.2,159.95,-0.16,-0.0016193255629874947,-0.0016206380877549446,0.13897190871825682
2015-10-21,8251.7,8258.35,8294.4,8217.15,149.27,-0.12,-0.0012043599038931152,-0.00120508572810975,0.1391222012803629
2015-10-23,8295.45,8308.25,8328.1,8280.75,156.66,0.53,0.005301937782517641,0.005287931993795239,0.11087477038056603
2015-10-26,8260.55,8333.65,8336.3,8252.05,138.01,-0.42,-0.004207125592945671,-0.004216000446318112,0.11363170134259898
2015-10-27,8232.9,8230.35,8241.95,8217.05,161.49,-0.33,-0.003347234748291572,-0.0033528492707724606,0.11554798608325145
2015-10-28,8171.2,8188.9,8209.1,8131.8,194.71,-0.75,-0.007494321563483064,-0.007522545090541855,0.11334650892635793
2015-10-29,8111.75,8175.45,8179.6,8098.0,224.23,-0.73,-0.007275553162326198,-0.007302149077749941,0.11738698000478483
2015-10-30,8065.8,8123.55,8146.1,8044.4,205.66,-0.57,-0.005664622307147038,-0.0056807271273674655,0.11155802311709326
2015-11-02,8050.8,8054.55,8060.7,7995.6,140.32,-0.19,-0.001859703935133572,-0.001861435331419404,0.11192972454701511
2015-11-03,8060.7,8086.35,8100.35,8031.75,136.62,0.12,0.0012296914592337949,0.0012289360079425834,0.08240606155009676
2015-11-04,8040.2,8104.9,8116.1,8027.3,125.94,-0.25,-0.0025432034438696016,-0.002546442879275842,0.080974463680213
2015-11-05,7955.45,8030.35,8031.2,7944.1,136.22,-1.05,-0.010540782567597828,-0.010596730117439205,0.08690879419435589
2015-11-06,7954.3,7956.55,8002.65,7926.15,226.33,-0.01,-0.00014455499060384014,-0.00014456543968348424,0.08532682320001098
2015-11-09,7915.2,7788.25,7937.75,7771.7,218.42,-0.49,-0.004915580252190632,-0.0049277014549425294,0.08012881374488601
2015-11-10,7783.35,7877.6,7885.1,7772.85,170.27,-1.67,-0.016657822922983567,-0.01679812471917992,0.09567519610636621
2015-11-11,7825.0,7838.8,7847.95,7819.1,223.8,0.54,0.0053511662715926,0.0053368996540898335,0.09940076560832861
2015-11-13,7762.25,7762.45,7775.1,7730.9,165.88,-0.8,-0.008019169329073428,-0.008051495804410539,0.10172454581330798
2015-11-16,7806.6,7732.95,7838.85,7714.15,154.14,0.57,0.005713549550710129,0.0056972891335418325,0.09781589685012049
2015-11-17,7837.55,7848.75,7860.45,7793.0,149.45,0.4,0.003964594061435234,0.003956755768668415,0.09431065886827286
2015-11-18,7731.8,7823.15,7843.4,7725.05,148.04,-1.35,-0.013492736888440882,-0.013584591041188353,0.09832290884405284
2015-11-19,7842.75,7788.5,7854.9,7765.45,136.7,1.43,0.014349827983134666,0.014247843681842662,0.11656388524337212
2015-11-20,7856.55,7841.9,7906.95,7817.8,156.61,0.18,0.001759586879602093,0.001758040620194783,0.11750551882845191
2015-11-23,7849.25,7869.5,7877.5,7825.2,130.87,-0.09,-0.0009291610185132582,-0.0009295929561929175,0.11409574968526125
2015-11-24,7831.6,7837.0,7870.35,7812.65,134.56,-0.22,-0.0022486224798546894,-0.0022511544276917856,0.11397731966935895
2015-11-26,7883.8,7837.15,7897.1,7832.0,226.63,0.67,0.00666530466315951,0.006643189734136915,0.11860761073660034
2015-11-27,7942.7,7910.6,7959.3,7879.45,154.86,0.75,0.007471016514878581,0.0074432466977343344,0.12150528242597768
2015-11-30,7935.25,7936.25,7966.0,7922.8,223.04,-0.09,-0.0009379681972124798,-0.0009384083646455314,0.11950119801909506
2015-12-01,7954.9,7958.15,7972.15,7934.15,142.94,0.25,0.0024762924923600327,0.00247323153228641,0.11885904985497478
2015-12-02,7931.35,7976.7,7979.3,7910.8,130.21,-0.3,-0.002960439477554644,-0.002964830246382941,0.11906735552168776
2015-12-03,7864.15,7902.3,7912.3,7853.3,129.63,-0.85,-0.008472706411897235,-0.008508803828694305,0.12190697033274767
2015-12-04,7781.9,7817.6,7821.4,7775.7,157.23,-1.05,-0.010458854421647623,-0.010513932612670314,0.12624772559714556
2015-12-07,7765.4,7816.55,7825.4,7746.05,141.89,-0.21,-0.0021203048098793476,-0.002122555838596946,0.12177149258750536
2015-12-08,7701.7,7738.5,7771.25,7685.45,139.32,-0.82,-0.008203054575424251,-0.008236884761876744,0.1241971513790696
2015-12-09,7612.5,7695.5,7702.85,7606.9,144.32,-1.16,-0.01158185855070959,-0.011649450676256404,0.1287833191681196
2015-12-10,7683.3,7643.3,7691.95,7610.0,145.25,0.93,0.00930049261083754,0.009257509334327736,0.12196956026840826
2015-12-11,7610.45,7699.6,7703.05,7575.3,173.0,-0.95,-0.009481602957062796,-0.009526839524913903,0.12369726371773984
2015-12-14,7650.05,7558.2,7663.95,7551.05,153.49,0.52,0.005203371679729951,0.005189880919368561,0.12316830215588226
2015-12-15,7700.9,7659.15,7705.0,7625.1,138.48,0.66,0.006647015378984378,0.006625021381424254,0.12385232081357678
2015-12-16,7750.9,7725.25,7776.6,7715.75,159.15,0.65,0.006492747600929771,0.006471760508837625,0.12541347206085052
